full_name_raw,full_name_fr,full_name_ar,full_name_en,full_name_es
Danish Refugee Council,Conseil de réfugié danois,مجلس اللاجئين الدانمركي,Danish refugee council,Consejo Danés de Refugiados
Sabea Sanabul Organization for Relief and Development,Organisation Sabea Sanabul pour le soulagement et le développement,شركة Sabea Sanabul للإغاثة والتنمية,SABEA SANABUL ORGANIZATION FOR RELIEF AND DEVELOPMENT,Organización Sabea Sanabul para alivio y desarrollo.
Mercy Corps,Mercy Corps,زلق لحاء الدردار,Mercy body,Cuerpo de misericordia
DARY Organization,Organisation duarie,تنظيم دااري,Dary Organization,Organización Dary
International Rescue Committee,Comité international de secours,لجنة الإنقاذ الدولية,International Rescue Committee,Comité Internacional de Rescate
The United Iraqi Medical Society,La Société médicale irakienne unie,الجمعية الطبية العراقية المتحدة,THE UNITED IRAQI MEDICAL SOCIETY,La sociedad médica iraquí unida
International Organization of Migration,Organisation internationale de la migration,التنظيم الدولي للهجرة,International Organization of Migration,Organización internacional de migración.
Première Urgence Internationale,Première Urgence Internationale,Première urgence internationale.,First international emergency,Primera emergencia internacional
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
International Medical Corps,Corps médical international,فيلق الطبي الدولي,International Medical Body,Cuerpo médico internacional
Terre Des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Men - Lausanne,Terre des Men - Lausanne
Justice Gate Organization,Organisation de la porte de la justice,منظمة البوابة العدالة,Justice Gate Organization,Organización de la Puerta de Justicia
HALO Trust,Halo Trust,هالة الثقة,Halo Trust,Halo confianza
War Child - UK,Guerre enfant - Royaume-Uni,حرب الطفل - المملكة المتحدة,War Child - UK,Niño de la guerra - Reino Unido
Public Aid Organization,Organisation d'aide publique,منظمة المساعدات العامة,Public Aid Organization,Organización de ayuda pública
Norwegian People's Aid,Aide du peuple norvégien,مساعدات الشعب النرويجي,Norwegian People's Aid,Ayuda de los pueblos noruegos
Terre Des Hommes - Italia,Terre des Hommes - Italia,Terre des Hommes - Italia,Terre des Men - Italia,Terre des Men - Italia
Iraq Health Access Organization,Oraq Health Access Organization,منظمة الوصول الصحية في العراق,Iraq Health Access Organization,Organización de acceso a la salud de Irak
Baghdad Women Association,Association des femmes Bagdad,جمعية نساء بغداد,Baghdad Women Association,Asociación de Mujeres de Bagdad
Tajdid Organization,Organisation Tajdid,تنظيم طاجيد,Tajdid Organization,Organización Tajdid
Bent Al-Rafedain Organization,Organisation Bent Al-Rafedain,منظمة عازمة الرافدين,Bent al-Salesland Organization,Organización Bent al-Salesland
United Nations Children's Funds,Fonds des Nations Unies pour enfants,أموال أطفال الأمم المتحدة,United Nations Children's Funds,Fondos de los niños de las Naciones Unidas
Norweigan Refugee Council,Conseil de réfugié Norweigan,مجلس اللاجئين نورويغان,Norweigan Refugee Council,Consejo de Refugiados de Norweigan
Cordaid Organization,Organisation Cordaid,منظمة كورداد,Cordaid Organization,Organización Cordaid
Hebaa Organization,Organisation Hebaa,منظمة هيباء,Hebaa Organization,Organización de Hebaa
Legal Clinic Network,Réseau de la clinique juridique,شبكة العيادة القانونية,Legal Clinic Network,Red de Clínicas Legales
Social Transformation and Educational Prosperity,Transformation sociale et prospérité éducative,التحول الاجتماعي والازدهار التعليمي,Social Transformation and Educational Prosperity,Transformación social y prosperidad educativa.
Department of Violence Against Women Govnmt,Département de la violence contre les femmes govnmt,قسم العنف ضد المرأة Govnmt,Department of Violence Against Women Govnmt,Departamento de Violencia contra Mujeres Govnmt
Heartland Alliance International,Heartland Alliance International,قلب التحالف الدولي,Heartland Alliance International,Heartland Alliance International
Jiyan Foundation,Jiyan Foundation,مؤسسة جيان,Jiyan Foundation,Fundación Jiyan
Directorate of Health - Sulaymaniyah,Direction de la santé - Sulaymaniyah,مديرية الصحة - السليمانية,Directorate of Health - Sulaymaniyah,Dirección de Salud - Sulaymaniyah
Zhian Health Organization,Organisation de la santé zhienne,منظمة الصحة تشيان,Zhian Health Organization,Organización de Salud Zhian
Heevie Kurdistan Development Organization,Heevie Kurdistan Organisation de développement,هيسي كردستان للتنمية,Heevie Kurdistan Development Organization,Organización de Desarrollo de Heevie Kurdistan
Directorate of Migration and Crisis Response - Sulaimaniyah,Direction de la migration et de la réponse à la crise - Sulaimaniyah,مديرية الهجرة والاستجابة للأزمات - السليمانية,Directorate of Migration and Crisis Response - Sulaimaniyah,Dirección de Migración y Respuesta de Crisis - Sulaimaniyah
